时间,门店代码,门店名称,省,市,区,门店类型,门店级别,门店状态,开店日期,二级渠道,门店面积,客流量,客单价,转化率,GMV,grade,二级渠道Type,门店级别Type,门店类型Type,Date,year,month,销售时长,修正转化率,开店时长,binned_data
2024年2月,JM70132,小米之家广东佛山南海区广佛智城专卖店,广东,佛山市,南海区,专卖店,专卖店-C1,营业中,2023/9/12,米家专卖店,129.64,1657,1007.53,8.81,146600.04,B,2,11,2,2024/2/1,2024,2,0.16,8.81,0.55,Low
2024年3月,JM11187,小米之家广东河源源城区坚基购物中心专卖店,广东,河源市,源城区,专卖店,A-形象店-MES Plus,营业中,2018/9/8,米家专卖店,140,16041,946.11,7.09,1056274.52,B,2,5,2,2024/3/1,2024,3,0.08,7.09,5.56,Low
2023年6月,JM11187,小米之家广东河源源城区坚基购物中心专卖店,广东,河源市,源城区,专卖店,A-形象店-MES Plus,营业中,2018/9/8,米家专卖店,140,15308,1228.47,8.37,1603873.72,B,2,5,2,2023/6/1,2023,6,0.83,8.37,5.56,Low
2024年1月,JM11187,小米之家广东河源源城区坚基购物中心专卖店,广东,河源市,源城区,专卖店,A-形象店-MES Plus,营业中,2018/9/8,米家专卖店,140,15317,1327.69,8.83,1759533.09,B,2,5,2,2024/1/1,2024,1,0.24,8.83,5.56,Low
2023年12月,JM11187,小米之家广东河源源城区坚基购物中心专卖店,广东,河源市,源城区,专卖店,A-形象店-MES Plus,营业中,2018/9/8,米家专卖店,140,16229,1357.63,8.03,1749934.54,B,2,5,2,2023/12/1,2023,12,0.33,8.03,5.56,Low
2023年1月,JM11187,小米之家广东河源源城区坚基购物中心专卖店,广东,河源市,源城区,专卖店,A-形象店-MES Plus,营业中,2018/9/8,米家专卖店,140,16975,1069.79,9.47,1694516.35,B,2,5,2,2023/1/1,2023,1,1.24,9.47,5.56,Low
2023年9月,JM11187,小米之家广东河源源城区坚基购物中心专卖店,广东,河源市,源城区,专卖店,A-形象店-MES Plus,营业中,2018/9/8,米家专卖店,140,16881,976.71,8.13,1319314.44,B,2,5,2,2023/9/1,2023,9,0.58,8.13,5.56,Low
2024年2月,JM20060,小米之家广东深圳宝安区卓悦时光专卖店,广东,深圳市,宝安区,专卖店,体验店-B1,营业中,2022/7/28,米家专卖店,138,3948,1024.6,8.03,314846.98,B,2,8,2,2024/2/1,2024,2,0.16,8.03,1.67,Low
2023年5月,JM20060,小米之家广东深圳宝安区卓悦时光专卖店,广东,深圳市,宝安区,专卖店,体验店-B1,营业中,2022/7/28,米家专卖店,138,7088,1306.69,5.74,574466.48,B,2,8,2,2023/5/1,2023,5,0.92,5.74,1.67,Low
2023年11月,JM20060,小米之家广东深圳宝安区卓悦时光专卖店,广东,深圳市,宝安区,专卖店,体验店-B1,营业中,2022/7/28,米家专卖店,138,6282,1800.65,6.19,661113.66,B,2,8,2,2023/11/1,2023,11,0.41,6.19,1.67,Low
