时间,门店代码,门店名称,省,市,区,门店类型,门店级别,门店状态,开店日期,二级渠道,门店面积,客流量,客单价,转化率,GMV,grade,二级渠道Type,门店级别Type,门店类型Type,Date,year,month,销售时长,修正转化率,开店时长,binned_data
2023年2月,JM13251,小米之家广东茂名茂南区光华北商圈专卖店,广东,茂名市,茂南区,专卖店,体验店-B2,营业中,2020/12/28,米家专卖店,180,3079,872.96,18.71,483774.77,B,2,9,2,2023/2/1,2023,2,1.16,18.71,3.25,Low
2023年7月,JM13251,小米之家广东茂名茂南区光华北商圈专卖店,广东,茂名市,茂南区,专卖店,体验店-B2,营业中,2020/12/28,米家专卖店,180,5360,1100.81,17.18,993632.62,B,2,9,2,2023/7/1,2023,7,0.75,17.18,3.25,Low
2023年3月,JM15760,小米之家广东中山港口万民汇MO CITY专卖店,广东,中山市,中山市,专卖店,体验店-B1,营业中,2021/5/22,米家专卖店,108,2893,919.21,23.12,594937.96,B,2,8,2,2023/3/1,2023,3,1.08,20,2.86,Low
2023年5月,JM20118,小米之家广东深圳南山区水湾1979专卖店,广东,深圳市,南山区,专卖店,体验店-B1,营业中,2021/12/23,米家专卖店,86,2103,999.35,28.53,582290.19,B,2,8,2,2023/5/1,2023,5,0.92,20,2.27,Low
2023年1月,JM20118,小米之家广东深圳南山区水湾1979专卖店,广东,深圳市,南山区,专卖店,体验店-B1,营业中,2021/12/23,米家专卖店,86,2398,1064.35,20.98,530076.19,B,2,8,2,2023/1/1,2023,1,1.24,20,2.27,Low
2023年12月,JM20118,小米之家广东深圳南山区水湾1979专卖店,广东,深圳市,南山区,专卖店,体验店-B1,营业中,2021/12/23,米家专卖店,86,2941,1416,28.29,944857.65,B,2,8,2,2023/12/1,2023,12,0.33,20,2.27,Low
2023年7月,JM11269,小米之家广东广州南沙区万达广场专卖店,广东,广州市,南沙区,专卖店,A-形象店-MES Plus,营业中,2018/12/30,米家专卖店,153,20112,971.12,7.85,1466944.39,B,2,5,2,2023/7/1,2023,7,0.75,7.85,5.25,Low
2023年5月,JM11269,小米之家广东广州南沙区万达广场专卖店,广东,广州市,南沙区,专卖店,A-形象店-MES Plus,营业中,2018/12/30,米家专卖店,153,16407,1005.71,8.71,1372027.88,B,2,5,2,2023/5/1,2023,5,0.92,8.71,5.25,Low
2023年7月,JM20190,小米之家广东汕头金平区卜蜂中心专卖店,广东,汕头市,金平区,专卖店,体验店-B1,营业中,2021/8/14,米家专卖店,84,3629,1079.69,10.58,407811.73,B,2,8,2,2023/7/1,2023,7,0.75,10.58,2.63,Low
2024年1月,JM20190,小米之家广东汕头金平区卜蜂中心专卖店,广东,汕头市,金平区,专卖店,体验店-B1,营业中,2021/8/14,米家专卖店,84,3944,1517.79,11,648849.27,B,2,8,2,2024/1/1,2024,1,0.24,11,2.63,Low
2023年6月,JM20190,小米之家广东汕头金平区卜蜂中心专卖店,广东,汕头市,金平区,专卖店,体验店-B1,营业中,2021/8/14,米家专卖店,84,3541,1212.34,10.19,414778.43,B,2,8,2,2023/6/1,2023,6,0.83,10.19,2.63,Low
2023年10月,JM11269,小米之家广东广州南沙区万达广场专卖店,广东,广州市,南沙区,专卖店,A-形象店-MES Plus,营业中,2018/12/30,米家专卖店,153,17370,1252.47,7.43,1571148.92,B,2,5,2,2023/10/1,2023,10,0.5,7.43,5.25,Low
2023年11月,JM20190,小米之家广东汕头金平区卜蜂中心专卖店,广东,汕头市,金平区,专卖店,体验店-B1,营业中,2021/8/14,米家专卖店,84,3821,1717.78,9.79,622876.42,B,2,8,2,2023/11/1,2023,11,0.41,9.79,2.63,Low
2023年1月,JM20190,小米之家广东汕头金平区卜蜂中心专卖店,广东,汕头市,金平区,专卖店,体验店-B1,营业中,2021/8/14,米家专卖店,84,6469,938.77,9.71,577539.36,B,2,8,2,2023/1/1,2023,1,1.24,9.71,2.63,Low
2024年1月,JM11269,小米之家广东广州南沙区万达广场专卖店,广东,广州市,南沙区,专卖店,A-形象店-MES Plus,营业中,2018/12/30,米家专卖店,153,12711,1190.58,8.43,1260947.93,B,2,5,2,2024/1/1,2024,1,0.24,8.43,5.25,Low
2023年9月,JM11269,小米之家广东广州南沙区万达广场专卖店,广东,广州市,南沙区,专卖店,A-形象店-MES Plus,营业中,2018/12/30,米家专卖店,153,18475,997.66,7.35,1329246.33,B,2,5,2,2023/9/1,2023,9,0.58,7.35,5.25,Low
2023年11月,JM11269,小米之家广东广州南沙区万达广场专卖店,广东,广州市,南沙区,专卖店,A-形象店-MES Plus,营业中,2018/12/30,米家专卖店,153,17845,1559.81,6.62,1804426.34,B,2,5,2,2023/11/1,2023,11,0.41,6.62,5.25,Low
2023年8月,JM13784,小米之家广东珠海金湾区三灶唐人街专卖店,广东,珠海市,金湾区,专卖店,体验店-B2,营业中,2021/7/24,米家专卖店,93,1612,1417.6,21.15,511687.99,B,2,9,2,2023/8/1,2023,8,0.66,20,2.68,Low
2023年6月,JM13784,小米之家广东珠海金湾区三灶唐人街专卖店,广东,珠海市,金湾区,专卖店,体验店-B2,营业中,2021/7/24,米家专卖店,93,1372,1422.38,26.09,477686.17,B,2,9,2,2023/6/1,2023,6,0.83,20,2.68,Low
2023年4月,JM13784,小米之家广东珠海金湾区三灶唐人街专卖店,广东,珠海市,金湾区,专卖店,体验店-B2,营业中,2021/7/24,米家专卖店,93,992,1473.23,34.58,503238.25,B,2,9,2,2023/4/1,2023,4,1,20,2.68,Low
2024年3月,JM72775,小米之家广东省深圳罗湖区宝能中心专卖店,广东,深圳市,罗湖区,专卖店,体验店-B1,营业中,2024/1/29,米家专卖店,112,8964,969.56,6.75,609439.39,B,2,8,2,2024/3/1,2024,3,0.08,6.75,0.17,Low
2023年1月,JM17012,小米之家广东广州番禺区金科广场专卖店,广东,广州市,番禺区,专卖店,体验店-B1,营业中,2021/6/30,米家专卖店,100.78,744,4658.92,85.35,3013687.21,B,2,8,2,2023/1/1,2023,1,1.24,20,2.75,Low
2024年1月,JM17012,小米之家广东广州番禺区金科广场专卖店,广东,广州市,番禺区,专卖店,体验店-B1,营业中,2021/6/30,米家专卖店,100.78,3113,811.97,16.06,1141728,B,2,8,2,2024/1/1,2024,1,0.24,16.06,2.75,Low
2023年4月,JM17012,小米之家广东广州番禺区金科广场专卖店,广东,广州市,番禺区,专卖店,体验店-B1,营业中,2021/6/30,米家专卖店,100.78,1072,854.79,85.45,1695774.03,B,2,8,2,2023/4/1,2023,4,1,20,2.75,Low
2023年6月,JM17012,小米之家广东广州番禺区金科广场专卖店,广东,广州市,番禺区,专卖店,体验店-B1,营业中,2021/6/30,米家专卖店,100.78,2000,1373.43,35.8,2298820.4,B,2,8,2,2023/6/1,2023,6,0.83,20,2.75,Low
2023年2月,JM17012,小米之家广东广州番禺区金科广场专卖店,广东,广州市,番禺区,专卖店,体验店-B1,营业中,2021/6/30,米家专卖店,100.78,1060,842.93,102.92,2976792.75,B,2,8,2,2023/2/1,2023,2,1.16,20,2.75,Low
2024年1月,JM72190,小米之家广东深圳龙岗区坂田吉华路专卖店,广东,深圳市,龙岗区,专卖店,体验店-B2,营业中,2023/10/30,米家专卖店,135,3118,1161.71,17.32,958652,B,2,9,2,2024/1/1,2024,1,0.24,17.32,0.42,Low
2023年4月,JM72190,小米之家广东深圳龙岗区坂田吉华路专卖店,广东,深圳市,龙岗区,专卖店,体验店-B2,营业中,2023/10/30,米家专卖店,135,0,0,0,0,B,2,9,2,2023/4/1,2023,4,1,0,0.42,Low
2023年9月,JM20231,小米之家广东肇庆四会吾悦广场专卖店,广东,肇庆市,四会市,专卖店,体验店-B1,营业中,2023/1/1,米家专卖店,122,7643,1046.8,7.98,610122.13,B,2,8,2,2023/9/1,2023,9,0.58,7.98,1.24,Low
2023年7月,JM20231,小米之家广东肇庆四会吾悦广场专卖店,广东,肇庆市,四会市,专卖店,体验店-B1,营业中,2023/1/1,米家专卖店,122,7422,1100.4,8.92,707341.64,B,2,8,2,2023/7/1,2023,7,0.75,8.92,1.24,Low
2024年1月,JM20231,小米之家广东肇庆四会吾悦广场专卖店,广东,肇庆市,四会市,专卖店,体验店-B1,营业中,2023/1/1,米家专卖店,122,7033,1181.26,8.66,1069102.27,B,2,8,2,2024/1/1,2024,1,0.24,8.66,1.24,Low
2023年4月,JM20231,小米之家广东肇庆四会吾悦广场专卖店,广东,肇庆市,四会市,专卖店,体验店-B1,营业中,2023/1/1,米家专卖店,122,6009,1461.77,9.1,780682.25,B,2,8,2,2023/4/1,2023,4,1,9.1,1.24,Low
2024年2月,JM72400,小米之家广东梅州梅江区彬芳大道专卖店,广东,梅州市,梅江区,专卖店,体验店-B2,营业中,2023/12/29,米家专卖店,135,917,1072.59,19.85,187575.51,B,2,9,2,2024/2/1,2024,2,0.16,19.85,0.25,Low
2024年1月,JM72400,小米之家广东梅州梅江区彬芳大道专卖店,广东,梅州市,梅江区,专卖店,体验店-B2,营业中,2023/12/29,米家专卖店,135,915,986.06,13.33,113345.63,B,2,9,2,2024/1/1,2024,1,0.24,13.33,0.25,Low
2024年2月,JM11397,小米之家广东深圳龙岗区星河WORLD.COCOPARK专卖店,广东,深圳市,龙岗区,专卖店,体验店-B1,营业中,2020/5/1,米家专卖店,135,4704,1313.66,16.11,959302.93,B,2,8,2,2024/2/1,2024,2,0.16,16.11,3.92,Low
2024年1月,JM11397,小米之家广东深圳龙岗区星河WORLD.COCOPARK专卖店,广东,深圳市,龙岗区,专卖店,体验店-B1,营业中,2020/5/1,米家专卖店,135,5421,1234.06,14.65,980507.97,B,2,8,2,2024/1/1,2024,1,0.24,14.65,3.92,Low
2023年6月,JM11397,小米之家广东深圳龙岗区星河WORLD.COCOPARK专卖店,广东,深圳市,龙岗区,专卖店,体验店-B1,营业中,2020/5/1,米家专卖店,135,6748,917.35,14.36,1080872.98,B,2,8,2,2023/6/1,2023,6,0.83,14.36,3.92,Low
2023年8月,JM70893,小米之家广东广州越秀区保利时光里专卖店,广东,广州市,越秀区,专卖店,A-形象店-MES Plus,营业中,2023/5/15,米家专卖店,180,14347,1074.58,18.86,3016720.2,B,2,5,2,2023/8/1,2023,8,0.66,18.86,0.88,Low
2023年11月,JM11397,小米之家广东深圳龙岗区星河WORLD.COCOPARK专卖店,广东,深圳市,龙岗区,专卖店,体验店-B1,营业中,2020/5/1,米家专卖店,135,6689,1609.34,12.89,1325358.8,B,2,8,2,2023/11/1,2023,11,0.41,12.89,3.92,Low
2023年5月,JM13499,小米之家广东广州黄埔区尚城万科里专卖店,广东,广州市,黄埔区,专卖店,体验店-B1,营业中,2021/2/6,米家专卖店,140,2863,2014.82,16.91,1139384.31,B,2,8,2,2023/5/1,2023,5,0.92,16.91,3.15,Low
2023年6月,JM13499,小米之家广东广州黄埔区尚城万科里专卖店,广东,广州市,黄埔区,专卖店,体验店-B1,营业中,2021/2/6,米家专卖店,140,2949,1832.85,29.57,2809082.38,B,2,8,2,2023/6/1,2023,6,0.83,20,3.15,Low
2023年3月,JM17908,小米之家广东深圳宝安区中洲购物中心专卖店,广东,深圳市,宝安区,专卖店,体验店-B1,营业中,2021/9/28,米家专卖店,100,6681,1556.13,15.04,1784363.55,B,2,8,2,2023/3/1,2023,3,1.08,15.04,2.5,Low
2023年12月,JM17908,小米之家广东深圳宝安区中洲购物中心专卖店,广东,深圳市,宝安区,专卖店,体验店-B1,营业中,2021/9/28,米家专卖店,100,10157,1240.14,10.82,1316733.54,B,2,8,2,2023/12/1,2023,12,0.33,10.82,2.5,Low
2023年2月,JM17033,小米之家广东东莞寮步万润广场专卖店,广东,东莞市,东莞市,专卖店,体验店-B1,营业中,2021/7/11,米家专卖店,76,3416,1053.26,12.73,433025.71,B,2,8,2,2023/2/1,2023,2,1.16,12.73,2.72,Low
2023年12月,JM17033,小米之家广东东莞寮步万润广场专卖店,广东,东莞市,东莞市,专卖店,体验店-B1,营业中,2021/7/11,米家专卖店,76,8748,1497.97,6.69,873457.89,B,2,8,2,2023/12/1,2023,12,0.33,6.69,2.72,Low
2023年3月,JM17033,小米之家广东东莞寮步万润广场专卖店,广东,东莞市,东莞市,专卖店,体验店-B1,营业中,2021/7/11,米家专卖店,76,3498,1049.76,11.32,403617.63,B,2,8,2,2023/3/1,2023,3,1.08,11.32,2.72,Low
2023年7月,JM19703,小米之家广东茂名化州市嘉荣购物广场专卖店,广东,茂名市,化州市,专卖店,体验店-B1,营业中,2022/7/11,米家专卖店,73,3308,1192.38,7.5,285014.97,C,2,8,2,2023/7/1,2023,7,0.75,7.5,1.72,Low
2024年2月,JM19703,小米之家广东茂名化州市嘉荣购物广场专卖店,广东,茂名市,化州市,专卖店,体验店-B1,营业中,2022/7/11,米家专卖店,73,2112,917.57,10.84,208058.13,C,2,8,2,2024/2/1,2024,2,0.16,10.84,1.72,Low
2024年1月,JM19703,小米之家广东茂名化州市嘉荣购物广场专卖店,广东,茂名市,化州市,专卖店,体验店-B1,营业中,2022/7/11,米家专卖店,73,1313,1182.11,9.29,129095.34,C,2,8,2,2024/1/1,2024,1,0.24,9.29,1.72,Low
2023年12月,JM19213,小米之家广东韶关武江区碧城广场专卖店,广东,韶关市,武江区,专卖店,体验店-B1,营业中,2022/1/29,米家专卖店,139.27,1308,1512.45,17.2,330642.62,B,2,8,2,2023/12/1,2023,12,0.33,17.2,2.17,Low
2023年10月,JM19213,小米之家广东韶关武江区碧城广场专卖店,广东,韶关市,武江区,专卖店,体验店-B1,营业中,2022/1/29,米家专卖店,139.27,1399,1485.56,13.44,264283,B,2,8,2,2023/10/1,2023,10,0.5,13.44,2.17,Low
2023年2月,JM19213,小米之家广东韶关武江区碧城广场专卖店,广东,韶关市,武江区,专卖店,体验店-B1,营业中,2022/1/29,米家专卖店,139.27,1077,1189.13,19.03,243546.78,B,2,8,2,2023/2/1,2023,2,1.16,19.03,2.17,Low
2024年1月,MI51168,小米之家广东中山利和广场店,广东,中山市,中山市,直营店,A-形象店-MES Plus,营业中,2018/11/17,米家自营,186,9668,998.37,14.48,1310304.07,B,1,5,1,2024/1/1,2024,1,0.24,14.48,5.37,Low
2023年8月,JM19213,小米之家广东韶关武江区碧城广场专卖店,广东,韶关市,武江区,专卖店,体验店-B1,营业中,2022/1/29,米家专卖店,139.27,1235,1464.54,18.54,330855.51,B,2,8,2,2023/8/1,2023,8,0.66,18.54,2.17,Low
2023年5月,MI51168,小米之家广东中山利和广场店,广东,中山市,中山市,直营店,A-形象店-MES Plus,营业中,2018/11/17,米家自营,186,8416,864.99,16.15,1193462.57,B,1,5,1,2023/5/1,2023,5,0.92,16.15,5.37,Low
2024年2月,JM14607,小米之家广东佛山禅城区天虹购物中心专卖店,广东,佛山市,禅城区,专卖店,体验店-B1,营业中,2021/3/27,米家专卖店,114,3916,1104.84,11.75,505715.39,B,2,8,2,2024/2/1,2024,2,0.16,11.75,3.01,Low
2023年12月,JM15760,小米之家广东中山港口万民汇MO CITY专卖店,广东,中山市,中山市,专卖店,体验店-B1,营业中,2021/5/22,米家专卖店,108,4196,1050.67,18.37,776540.67,B,2,8,2,2023/12/1,2023,12,0.33,18.37,2.86,Low
2024年3月,JM20118,小米之家广东深圳南山区水湾1979专卖店,广东,深圳市,南山区,专卖店,体验店-B1,营业中,2021/12/23,米家专卖店,86,2662,1651.74,32.87,1416823.39,B,2,8,2,2024/3/1,2024,3,0.08,20,2.27,Low
2023年5月,JM20190,小米之家广东汕头金平区卜蜂中心专卖店,广东,汕头市,金平区,专卖店,体验店-B1,营业中,2021/8/14,米家专卖店,84,3680,822.82,11.39,328364.47,B,2,8,2,2023/5/1,2023,5,0.92,11.39,2.63,Low
2023年1月,JM11269,小米之家广东广州南沙区万达广场专卖店,广东,广州市,南沙区,专卖店,A-形象店-MES Plus,营业中,2018/12/30,米家专卖店,153,20685,1231.69,8.29,2058720.02,B,2,5,2,2023/1/1,2023,1,1.24,8.29,5.25,Low
2023年4月,JM20190,小米之家广东汕头金平区卜蜂中心专卖店,广东,汕头市,金平区,专卖店,体验店-B1,营业中,2021/8/14,米家专卖店,84,3835,985.76,10.43,386721.76,B,2,8,2,2023/4/1,2023,4,1,10.43,2.63,Low
2024年3月,JM11269,小米之家广东广州南沙区万达广场专卖店,广东,广州市,南沙区,专卖店,A-形象店-MES Plus,营业中,2018/12/30,米家专卖店,153,13456,1055.03,7.99,1124420.24,B,2,5,2,2024/3/1,2024,3,0.08,7.99,5.25,Low
2023年10月,JM13784,小米之家广东珠海金湾区三灶唐人街专卖店,广东,珠海市,金湾区,专卖店,体验店-B2,营业中,2021/7/24,米家专卖店,93,1166,1499.08,30.96,705705.4,B,2,9,2,2023/10/1,2023,10,0.5,20,2.68,Low
2023年11月,JM13784,小米之家广东珠海金湾区三灶唐人街专卖店,广东,珠海市,金湾区,专卖店,体验店-B2,营业中,2021/7/24,米家专卖店,93,1366,1856.11,28.11,755557.43,B,2,9,2,2023/11/1,2023,11,0.41,20,2.68,Low
2023年8月,JM17012,小米之家广东广州番禺区金科广场专卖店,广东,广州市,番禺区,专卖店,体验店-B1,营业中,2021/6/30,米家专卖店,100.78,2877,1098.27,29.23,1392311.67,B,2,8,2,2023/8/1,2023,8,0.66,20,2.75,Low
2023年3月,JM17012,小米之家广东广州番禺区金科广场专卖店,广东,广州市,番禺区,专卖店,体验店-B1,营业中,2021/6/30,米家专卖店,100.78,934,1368.48,142.18,1851912.49,B,2,8,2,2023/3/1,2023,3,1.08,20,2.75,Low
2024年2月,JM72190,小米之家广东深圳龙岗区坂田吉华路专卖店,广东,深圳市,龙岗区,专卖店,体验店-B2,营业中,2023/10/30,米家专卖店,135,1972,1208.52,26.12,621382.18,B,2,9,2,2024/2/1,2024,2,0.16,20,0.42,Low
2024年3月,JM72190,小米之家广东深圳龙岗区坂田吉华路专卖店,广东,深圳市,龙岗区,专卖店,体验店-B2,营业中,2023/10/30,米家专卖店,135,2834,1246.73,21.03,771385.04,B,2,9,2,2024/3/1,2024,3,0.08,20,0.42,Low
2024年2月,JM72680,小米之家广东深圳龙岗区坂田百佳华专卖店,广东,深圳市,龙岗区,专卖店,体验店-B1,营业中,2024/1/18,米家专卖店,133,6824,1139.75,6.04,464870.02,B,2,8,2,2024/2/1,2024,2,0.16,6.04,0.2,Low
2023年1月,JM20231,小米之家广东肇庆四会吾悦广场专卖店,广东,肇庆市,四会市,专卖店,体验店-B1,营业中,2023/1/1,米家专卖店,122,7092,1171.37,6.49,515329.05,B,2,8,2,2023/1/1,2023,1,1.24,6.49,1.24,Low
2023年5月,JM20231,小米之家广东肇庆四会吾悦广场专卖店,广东,肇庆市,四会市,专卖店,体验店-B1,营业中,2023/1/1,米家专卖店,122,6194,1295.88,8.15,634207.61,B,2,8,2,2023/5/1,2023,5,0.92,8.15,1.24,Low
2024年3月,JM20231,小米之家广东肇庆四会吾悦广场专卖店,广东,肇庆市,四会市,专卖店,体验店-B1,营业中,2023/1/1,米家专卖店,122,7609,1152.09,8.35,741992.25,B,2,8,2,2024/3/1,2024,3,0.08,8.35,1.24,Low
2023年8月,JM11397,小米之家广东深圳龙岗区星河WORLD.COCOPARK专卖店,广东,深圳市,龙岗区,专卖店,体验店-B1,营业中,2020/5/1,米家专卖店,135,8474,975.23,12.41,1027391.5,B,2,8,2,2023/8/1,2023,8,0.66,12.41,3.92,Low
2023年3月,JM11397,小米之家广东深圳龙岗区星河WORLD.COCOPARK专卖店,广东,深圳市,龙岗区,专卖店,体验店-B1,营业中,2020/5/1,米家专卖店,135,4628,1253.74,20.59,1348981.15,B,2,8,2,2023/3/1,2023,3,1.08,20,3.92,Low
2023年11月,JM13499,小米之家广东广州黄埔区尚城万科里专卖店,广东,广州市,黄埔区,专卖店,体验店-B1,营业中,2021/2/6,米家专卖店,140,2618,2604.38,37.78,2722092.34,B,2,8,2,2023/11/1,2023,11,0.41,20,3.15,Low
2023年1月,JM19703,小米之家广东茂名化州市嘉荣购物广场专卖店,广东,茂名市,化州市,专卖店,体验店-B1,营业中,2022/7/11,米家专卖店,73,4248,1139.78,11.35,544560.68,C,2,8,2,2023/1/1,2023,1,1.24,11.35,1.72,Low
2023年12月,JM19703,小米之家广东茂名化州市嘉荣购物广场专卖店,广东,茂名市,化州市,专卖店,体验店-B1,营业中,2022/7/11,米家专卖店,73,1417,1176.39,8.4,135936.59,C,2,8,2,2023/12/1,2023,12,0.33,8.4,1.72,Low
2023年5月,JM19703,小米之家广东茂名化州市嘉荣购物广场专卖店,广东,茂名市,化州市,专卖店,体验店-B1,营业中,2022/7/11,米家专卖店,73,2204,965.3,7.62,158066.78,C,2,8,2,2023/5/1,2023,5,0.92,7.62,1.72,Low
2024年3月,JM19703,小米之家广东茂名化州市嘉荣购物广场专卖店,广东,茂名市,化州市,专卖店,体验店-B1,营业中,2022/7/11,米家专卖店,73,1071,871.63,9.52,85825.94,C,2,8,2,2024/3/1,2024,3,0.08,9.52,1.72,Low
2023年4月,JM19213,小米之家广东韶关武江区碧城广场专卖店,广东,韶关市,武江区,专卖店,体验店-B1,营业中,2022/1/29,米家专卖店,139.27,1172,1092.16,16.38,207830.2,B,2,8,2,2023/4/1,2023,4,1,16.38,2.17,Low
2023年3月,JM14607,小米之家广东佛山禅城区天虹购物中心专卖店,广东,佛山市,禅城区,专卖店,体验店-B1,营业中,2021/3/27,米家专卖店,114,2907,1186.66,12.38,408046,B,2,8,2,2023/3/1,2023,3,1.08,12.38,3.01,Low
2023年4月,JM15760,小米之家广东中山港口万民汇MO CITY专卖店,广东,中山市,中山市,专卖店,体验店-B1,营业中,2021/5/22,米家专卖店,108,3780,910.75,20.03,679145.05,B,2,8,2,2023/4/1,2023,4,1,20,2.86,Low
2023年5月,JM13251,小米之家广东茂名茂南区光华北商圈专卖店,广东,茂名市,茂南区,专卖店,体验店-B2,营业中,2020/12/28,米家专卖店,180,4430,1197.56,18.69,957115.34,B,2,9,2,2023/5/1,2023,5,0.92,18.69,3.25,Low
2023年3月,JM20190,小米之家广东汕头金平区卜蜂中心专卖店,广东,汕头市,金平区,专卖店,体验店-B1,营业中,2021/8/14,米家专卖店,84,2956,912.03,13.33,329329.55,B,2,8,2,2023/3/1,2023,3,1.08,13.33,2.63,Low
2023年8月,JM11269,小米之家广东广州南沙区万达广场专卖店,广东,广州市,南沙区,专卖店,A-形象店-MES Plus,营业中,2018/12/30,米家专卖店,153,22114,1047.64,7.38,1644746.14,B,2,5,2,2023/8/1,2023,8,0.66,7.38,5.25,Low
2023年2月,JM13784,小米之家广东珠海金湾区三灶唐人街专卖店,广东,珠海市,金湾区,专卖店,体验店-B2,营业中,2021/7/24,米家专卖店,93,1422,1529.7,23.56,480764.6,B,2,9,2,2023/2/1,2023,2,1.16,20,2.68,Low
2023年5月,JM17012,小米之家广东广州番禺区金科广场专卖店,广东,广州市,番禺区,专卖店,体验店-B1,营业中,2021/6/30,米家专卖店,100.78,1417,795.98,52.58,588886.41,B,2,8,2,2023/5/1,2023,5,0.92,20,2.75,Low
2023年11月,JM72190,小米之家广东深圳龙岗区坂田吉华路专卖店,广东,深圳市,龙岗区,专卖店,体验店-B2,营业中,2023/10/30,米家专卖店,135,2874,2237.75,19.14,1198733.91,B,2,9,2,2023/11/1,2023,11,0.41,19.14,0.42,Low
2023年12月,JM72680,小米之家广东深圳龙岗区坂田百佳华专卖店,广东,深圳市,龙岗区,专卖店,体验店-B1,营业中,2024/1/18,米家专卖店,133,0,1008.08,0,21169.6,B,2,8,2,2023/12/1,2023,12,0.33,0,0.2,Low
2023年6月,JM20231,小米之家广东肇庆四会吾悦广场专卖店,广东,肇庆市,四会市,专卖店,体验店-B1,营业中,2023/1/1,米家专卖店,122,6227,1451.59,9.46,816534.2,B,2,8,2,2023/6/1,2023,6,0.83,9.46,1.24,Low
2023年3月,JM20231,小米之家广东肇庆四会吾悦广场专卖店,广东,肇庆市,四会市,专卖店,体验店-B1,营业中,2023/1/1,米家专卖店,122,4757,1310.38,8.6,512369.83,B,2,8,2,2023/3/1,2023,3,1.08,8.6,1.24,Low
2023年12月,JM70893,小米之家广东广州越秀区保利时光里专卖店,广东,广州市,越秀区,专卖店,A-形象店-MES Plus,营业中,2023/5/15,米家专卖店,180,14423,1098.11,17.12,3825439.46,B,2,5,2,2023/12/1,2023,12,0.33,17.12,0.88,Low
2023年7月,JM11397,小米之家广东深圳龙岗区星河WORLD.COCOPARK专卖店,广东,深圳市,龙岗区,专卖店,体验店-B1,营业中,2020/5/1,米家专卖店,135,8000,786.47,12.91,824741.63,B,2,8,2,2023/7/1,2023,7,0.75,12.91,3.92,Low
2023年12月,JM11397,小米之家广东深圳龙岗区星河WORLD.COCOPARK专卖店,广东,深圳市,龙岗区,专卖店,体验店-B1,营业中,2020/5/1,米家专卖店,135,6933,1640.34,11.5,1247757.48,B,2,8,2,2023/12/1,2023,12,0.33,11.5,3.92,Low
2023年5月,JM70893,小米之家广东广州越秀区保利时光里专卖店,广东,广州市,越秀区,专卖店,A-形象店-MES Plus,营业中,2023/5/15,米家专卖店,180,0,984.65,0,2486536.28,B,2,5,2,2023/5/1,2023,5,0.92,0,0.88,Low
2023年1月,JM13499,小米之家广东广州黄埔区尚城万科里专卖店,广东,广州市,黄埔区,专卖店,体验店-B1,营业中,2021/2/6,米家专卖店,140,2465,3075.89,31.89,2982507.77,B,2,8,2,2023/1/1,2023,1,1.24,20,3.15,Low
2024年1月,JM17908,小米之家广东深圳宝安区中洲购物中心专卖店,广东,深圳市,宝安区,专卖店,体验店-B1,营业中,2021/9/28,米家专卖店,100,8017,1258.59,13.12,1250778.42,B,2,8,2,2024/1/1,2024,1,0.24,13.12,2.5,Low
2023年7月,JM19213,小米之家广东韶关武江区碧城广场专卖店,广东,韶关市,武江区,专卖店,体验店-B1,营业中,2022/1/29,米家专卖店,139.27,1168,1269.3,20.98,291904.69,B,2,8,2,2023/7/1,2023,7,0.75,20,2.17,Low
2023年2月,JM11269,小米之家广东广州南沙区万达广场专卖店,广东,广州市,南沙区,专卖店,A-形象店-MES Plus,营业中,2018/12/30,米家专卖店,153,15378,972.56,8.08,1173360.22,B,2,5,2,2023/2/1,2023,2,1.16,8.08,5.25,Low
2023年12月,JM13784,小米之家广东珠海金湾区三灶唐人街专卖店,广东,珠海市,金湾区,专卖店,体验店-B2,营业中,2021/7/24,米家专卖店,93,1662,2075.11,27.56,946367.49,B,2,9,2,2023/12/1,2023,12,0.33,20,2.68,Low
2023年10月,JM17012,小米之家广东广州番禺区金科广场专卖店,广东,广州市,番禺区,专卖店,体验店-B1,营业中,2021/6/30,米家专卖店,100.78,2974,1387.94,14.73,603112.3,B,2,8,2,2023/10/1,2023,10,0.5,14.73,2.75,Low
2024年3月,JM72400,小米之家广东梅州梅江区彬芳大道专卖店,广东,梅州市,梅江区,专卖店,体验店-B2,营业中,2023/12/29,米家专卖店,135,817,1588.94,32.44,387481.57,B,2,9,2,2024/3/1,2024,3,0.08,20,0.25,Low
2023年6月,JM70893,小米之家广东广州越秀区保利时光里专卖店,广东,广州市,越秀区,专卖店,A-形象店-MES Plus,营业中,2023/5/15,米家专卖店,180,8296,1204.52,24.84,3536439.55,B,2,5,2,2023/6/1,2023,6,0.83,20,0.88,Low
2024年3月,JM13499,小米之家广东广州黄埔区尚城万科里专卖店,广东,广州市,黄埔区,专卖店,体验店-B1,营业中,2021/2/6,米家专卖店,140,2471,1651.52,43.06,1781025.71,B,2,8,2,2024/3/1,2024,3,0.08,20,3.15,Low
2024年2月,JM13499,小米之家广东广州黄埔区尚城万科里专卖店,广东,广州市,黄埔区,专卖店,体验店-B1,营业中,2021/2/6,米家专卖店,140,2099,2116.58,29.97,1393394.85,B,2,8,2,2024/2/1,2024,2,0.16,20,3.15,Low
